date,time,I,cum_I
2/20/2020,1,1,1
2/21/2020,2,0,1
2/22/2020,3,0,1
2/23/2020,4,0,1
2/24/2020,5,1,2
2/25/2020,6,0,2
2/26/2020,7,0,2
2/27/2020,8,1,3
2/28/2020,9,1,4
2/29/2020,10,6,10
3/1/2020,11,3,13
3/2/2020,12,1,14
3/3/2020,13,2,16
3/4/2020,14,1,17
3/5/2020,15,5,22
3/6/2020,16,6,28
3/7/2020,17,4,32
3/8/2020,18,0,32
3/9/2020,19,12,44
3/10/2020,20,16,60
3/11/2020,21,1,61
3/12/2020,22,8,69
3/13/2020,23,17,86
3/14/2020,24,22,108
3/15/2020,25,0,108
3/16/2020,26,11,119
3/17/2020,27,16,135
3/18/2020,28,17,152
3/19/2020,29,19,171
3/20/2020,30,53,224
3/21/2020,31,23,247
3/22/2020,32,20,267
3/23/2020,33,37,304
3/24/2020,34,29,333
3/25/2020,35,35,368
3/26/2020,36,23,391
3/27/2020,37,21,412
3/28/2020,38,26,438
3/29/2020,39,8,446
3/30/2020,40,17,463
3/31/2020,41,16,479
4/1/2020,42,15,494
4/2/2020,43,14,508
4/3/2020,44,12,520
4/4/2020,45,7,527
4/5/2020,46,14,541
4/6/2020,47,7,548
4/7/2020,48,27,575
4/8/2020,49,7,582
4/9/2020,50,27,609
4/10/2020,51,10,619
4/11/2020,52,11,630
4/12/2020,53,2,632
4/13/2020,54,9,641
4/14/2020,55,17,658
4/15/2020,56,5,663
4/16/2020,57,5,668
4/17/2020,58,4,672
